6.2;440.626;0;83.375;440.626;40.626;0.6261;0.62611;2.61E-02;6.11E-03;6.2;440.626;0;83.375;440.626;40.626;0.6261;0.62611;2.61E-02;6.11E-03
6.3;440.645;0;83.375;440.645;40.645;0.6447;0.64468;4.47E-02;4.68E-03;6.3;440.645;0;83.375;440.645;40.645;0.6447;0.64468;4.47E-02;4.68E-03
6.4;440.588;0;83.375;440.588;40.588;0.5879;0.58786;8.79E-02;7.86E-03;6.4;440.588;0;83.375;440.588;40.588;0.5879;0.58786;8.79E-02;7.86E-03
6.5;440.556;0;83.375;440.556;40.556;0.556;0.55598;5.60E-02;5.98E-03;6.5;440.556;0;83.375;440.556;40.556;0.556;0.55598;5.60E-02;5.98E-03
6.6;440.588;0;83.375;440.588;40.588;0.5883;0.58833;8.83E-02;8.33E-03;6.6;440.588;0;83.375;440.588;40.588;0.5883;0.58833;8.83E-02;8.33E-03
6.7;440.582;0;83.375;440.582;40.582;0.582;0.58203;8.20E-02;2.03E-03;6.7;440.582;0;83.375;440.582;40.582;0.582;0.58203;8.20E-02;2.03E-03
6.8;440.524;0;83.375;440.524;40.524;0.5243;0.52429;2.43E-02;4.29E-03;6.8;440.524;0;83.375;440.524;40.524;0.5243;0.52429;2.43E-02;4.29E-03
6.9;440.494;0;83.375;440.494;40.494;0.4938;0.49381;9.38E-02;3.81E-03;6.9;440.494;0;83.375;440.494;40.494;0.4938;0.49381;9.38E-02;3.81E-03
7.0;440.527;0;83.375;440.527;40.527;0.5271;0.5271;2.71E-02;7.10E-03;7;440.527;0;83.375;440.527;40.527;0.5271;0.5271;2.71E-02;7.10E-03
7.1;440.526;0;83.375;440.526;40.526;0.5261;0.52607;2.61E-02;6.07E-03;7.1;440.526;0;83.375;440.526;40.526;0.5261;0.52607;2.61E-02;6.07E-03
7.2;440.463;0;83.375;440.463;40.463;0.4633;0.46334;6.33E-02;3.34E-03;7.2;440.463;0;83.375;440.463;40.463;0.4633;0.46334;6.33E-02;3.34E-03
7.3;440.443;0;83.375;440.443;40.443;0.4433;0.44332;4.33E-02;3.32E-03;7.3;440.443;0;83.375;440.443;40.443;0.4433;0.44332;4.33E-02;3.32E-03
7.4;440.508;0;83.375;440.508;40.508;0.5075;0.50754;7.54E-03;7.54E-03;7.4;440.508;0;83.375;440.508;40.508;0.5075;0.50754;7.54E-03;7.54E-03
7.5;440.528;0;83.375;440.528;40.528;0.5279;0.52789;2.79E-02;7.89E-03;7.5;440.528;0;83.375;440.528;40.528;0.5279;0.52789;2.79E-02;7.89E-03
7.6;440.475;0;83.375;440.475;40.475;0.4752;0.47523;7.52E-02;5.23E-03;7.6;440.475;0;83.375;440.475;40.475;0.4752;0.47523;7.52E-02;5.23E-03
7.7;440.461;0;83.375;440.461;40.461;0.4612;0.46116;6.12E-02;1.16E-03;7.7;440.461;0;83.375;440.461;40.461;0.4612;0.46116;6.12E-02;1.16E-03
7.8;440.527;0;83.375;440.527;40.527;0.5273;0.5273;2.73E-02;7.30E-03;7.8;440.527;0;83.375;440.527;40.527;0.5273;0.5273;2.73E-02;7.30E-03
7.9;440.554;0;83.375;440.554;40.554;0.5543;0.55433;5.43E-02;4.33E-03;7.9;440.554;0;83.375;440.554;40.554;0.5543;0.55433;5.43E-02;4.33E-03
8.0;440.515;0;83.375;440.515;40.515;0.5149;0.51486;1.49E-02;4.86E-03;8;440.515;0;83.375;440.515;40.515;0.5149;0.51486;1.49E-02;4.86E-03
8.1;440.506;0;83.375;440.506;40.506;0.5063;0.50631;6.31E-03;6.31E-03;8.1;440.506;0;83.375;440.506;40.506;0.5063;0.50631;6.31E-03;6.31E-03
